Level of Risk,Date,Employment Length,Previous Home Ownership,Business Consumer,Customer Age in year,Bank,Salary,Down Payment,Down Payment Ratio,Market Value,LastDecision Score
2. Average,2/6/12,1,rent,Business,46.2,,,0,0,149181.0858,Yes
1. Good,2/5/12,1,own,Consumer,41.8,,2100,4582.14,6.16,67422.06681,No
1. Good,2/4/12,,mortgage,Consumer,50.8,JPMorgan Chase,8700,0,0,317035.5296,Yes
1. Good,2/3/12,7,mortgage,Consumer,53.8,JPMorgan Chase,2600,25501.71,34.77,280856.7947,Yes
1. Good,2/2/12,0,own,Consumer,44.4,Citigroup,1600,4329,12.61,56601.10772,Yes
1. Good,2/1/12,1,mortgage,Consumer,21.8,JPMorgan Chase,1300,6675,12.21,86528.47678,Yes
1. Good,1/31/12,6,mortgage,Business,44.7,Citigroup,,1011.45,1.47,153255.7241,Yes
1. Good,1/30/12,,rent,Consumer,68.8,The Bank of New York Mellon,1450,23100,40.81,345387.3928,Yes
1. Good,1/29/12,7,mortgage,Consumer,25.2,Wells Fargo,2119,29820,35,398620.5455,No
1. Good,1/28/12,7,rent,Consumer,60.7,PNC,2043.01,27000,50.36,289327.8659,Yes
1. Good,1/27/12,1,own,Consumer,40.5,Wells Fargo,1855,5580,8.51,64939.05597,Yes
1. Good,1/26/12,3,mortgage,Business,36.3,Citigroup,,1258.38,1.79,192905.7736,Yes
1. Good,1/25/12,10,mortgage,Consumer,20.9,Citigroup,1300,0,0,268787.3367,Yes
3. Risk,1/24/12,3,rent,Consumer,39.7,Bank of America,3500,9000,11.15,101976.1758,Yes
1. Good,1/23/12,10,mortgage,Consumer,49.3,Bank of America,2080,26898,66.58,366951.21,Yes
1. Good,1/22/12,10,rent,Business,52.6,Citigroup,,1089.09,2.29,132103.5337,Yes
2. Average,1/21/12,3,mortgage,Business,52.2,,,0,0,193761.2148,No
1. Good,1/20/12,0,mortgage,Business,47.8,Wells Fargo,,878.22,2.38,325822.1832,Yes
1. Good,1/19/12,,mortgage,Business,42,The Bank of New York Mellon,,931.11,1.75,133208.0475,Yes
2. Average,1/18/12,5,rent,Consumer,31.7,,13234,19140,10,254972.5937,Yes
1. Good,1/17/12,7,mortgage,Business,46.8,Foreign Bank,,858.96,1.9,420509.8849,Yes
1. Good,1/16/12,10,mortgage,Consumer,21.3,HSBC,1204,0,0,291889.258,Yes
2. Average,1/15/12,5,mortgage,Consumer,44.6,,7580,0,0,216257.8483,Yes
1. Good,1/14/12,10,rent,Consumer,45,,2500,45000,62.76,662445.2891,Yes
1. Good,1/13/12,6,rent,Consumer,30,Citigroup,1402,22800,55.88,341453.1263,Yes
1. Good,1/12/12,,mortgage,Consumer,37.1,,0,0,0,336670.7501,Yes
1. Good,1/11/12,10,mortgage,Consumer,50.7,PNC,1100,48732,76.46,650118.4906,Yes
1. Good,1/10/12,10,rent,Consumer,24.6,Bank of America,1196,20610,50,286695.8174,Yes
1. Good,1/9/12,,mortgage,Consumer,23.3,The Bank of New York Mellon,1093,0,0,299539.5211,Yes
1. Good,1/8/12,1,rent,Business,58.5,Citigroup,,1212.9,3.13,166853.3578,Yes
1. Good,1/7/12,0,own,Business,47.7,Citigroup,,4059.06,2.59,53362.84309,Yes
1. Good,1/6/12,10,mortgage,Business,38.8,,,2160.27,2.07,300439.72,Yes
1. Good,1/5/12,10,mortgage,Business,38.8,HSBC,,1399.53,2.11,158483.4055,Yes
1. Good,1/4/12,10,own,Consumer,19.4,Bank of America,840,39603,68.75,450335.1078,Yes
2. Average,1/3/12,2,rent,Business,30.4,,,2893.86,4.39,416895.9448,Yes
1. Good,1/2/12,3,mortgage,Consumer,33.8,Citigroup,1785,0,0,180224.8639,No
1. Good,1/1/12,7,rent,Consumer,54.4,Foreign Bank,7593,1611.51,1.82,262279.9408,No
1. Good,12/31/11,10,mortgage,Consumer,57.8,Citigroup,1800,75198,89.31,769294.2756,Yes
1. Good,12/30/11,10,mortgage,Consumer,78.1,Wells Fargo,1580,55236,85.99,810241.7518,Yes
2. Average,12/29/11,3,mortgage,Consumer,48.5,,2735,0,0,157027.203,Yes
2. Average,12/28/11,10,mortgage,Consumer,23.2,Citigroup,2560,7500,6.43,75738.44615,Yes
1. Good,12/27/11,10,mortgage,Consumer,51.7,Bank of America,2900,49200,76.64,561590.3557,Yes
3. Risk,12/26/11,6,mortgage,Consumer,50.1,The Bank of New York Mellon,3807.52,11229,10.77,139063.9142,Yes
1. Good,12/25/11,7,rent,Consumer,53.6,,1500,27000,73.77,352625.0971,Yes
2. Average,12/24/11,10,rent,Consumer,49.9,Wells Fargo,2579,12000,19.51,150460.3965,Yes
1. Good,12/23/11,,rent,Consumer,43,The Bank of New York Mellon,6000,1879.32,2.99,231968.0369,Yes
1. Good,12/22/11,10,mortgage,Consumer,39.9,,1850,109500.21,74.16,1386995.889,Yes
1. Good,12/21/11,7,rent,Consumer,64,Citigroup,1300,28186.23,35,333229.0323,Yes
2. Average,12/20/11,10,mortgage,Consumer,57.5,,5136,24000,8.79,348536.7466,No
1. Good,12/19/11,5,mortgage,Consumer,47.2,Citigroup,1263,19581,56.62,248204.0204,Yes
1. Good,12/18/11,10,mortgage,Consumer,44.3,Citigroup,2467,91590,92.43,1071135.103,Yes
1. Good,12/17/11,2,rent,Consumer,58.9,Wells Fargo,1575,9423.3,11.67,106116.4052,Yes
2. Average,12/16/11,6,mortgage,Consumer,46,PNC,3100,0,0,160667.5456,Yes
1. Good,12/15/11,10,mortgage,Consumer,49.4,Bank of America,2615,12000,14.66,177229.506,No
1. Good,12/14/11,10,mortgage,Consumer,29.2,HSBC,3000,0,0,240047.0378,Yes
2. Average,12/13/11,,rent,Consumer,40,,1750,13668,14.52,156195.88,Yes
1. Good,12/12/11,4,rent,Consumer,36.3,,2800,0,0,179102.3191,Yes
2. Average,12/11/11,10,mortgage,Consumer,50.7,HSBC,2780,0,0,225923.598,Yes
1. Good,12/10/11,3,rent,Consumer,25.5,Foreign Bank,1300,12000,17.17,154971.3576,Yes
1. Good,12/9/11,0,own,Business,41.3,,,3402.57,2.45,531059.1034,Yes
2. Average,12/8/11,7,rent,Business,37.3,Foreign Bank,,15299.4,10,224648.2462,Yes
2. Average,12/7/11,5,rent,Consumer,22.8,The Bank of New York Mellon,2000,0,0,186606.0347,Yes
2. Average,12/6/11,6,rent,Consumer,37,Wells Fargo,2400,7500,9.63,90107.72958,Yes
1. Good,12/5/11,9,mortgage,Consumer,29.9,HSBC,1700,39600,48.53,465879.5763,Yes
1. Good,12/4/11,6,mortgage,Consumer,27.3,,1458,24249,48.45,295715.1656,Yes
1. Good,12/3/11,4,mortgage,Business,44.8,,,1505.79,2.11,177780.3134,Yes
1. Good,12/2/11,2,mortgage,Consumer,39.4,Citigroup,0,8100,11.42,82291.35212,Yes
1. Good,12/1/11,10,mortgage,Consumer,70.6,Bank of America,1520,22560,50.07,337591.1875,Yes
1. Good,11/30/11,10,mortgage,Consumer,41.3,JPMorgan Chase,0,61935.48,32.26,627876.4409,Yes
1. Good,11/29/11,3,rent,Consumer,35.3,PNC,2500,0,0,166853.3578,Yes
1. Good,11/28/11,5,rent,Consumer,39.3,Foreign Bank,12956,18000,37.5,185471.57,Yes
3. Risk,11/27/11,3,rent,Consumer,68.9,Wells Fargo,1700,1800,3.87,285963.661,Yes
1. Good,11/26/11,1,own,Consumer,61.3,Citigroup,1800,4560,10.13,54756.4993,Yes
1. Good,11/25/11,9,own,Consumer,42.8,,1500,39000,81.25,455029.9438,No
1. Good,11/24/11,10,rent,Consumer,52,JPMorgan Chase,1650,0,0,240660.4624,Yes
1. Good,11/23/11,6,rent,Consumer,50.2,HSBC,2900,23970,34.75,291382.4619,Yes
1. Good,11/22/11,4,rent,Consumer,29.2,Foreign Bank,1863,14400,32.43,198755.6328,Yes
1. Good,11/21/11,7,mortgage,Consumer,26.8,Foreign Bank,1750,29400,76.56,333097.2491,Yes
1. Good,11/20/11,1,mortgage,Business,48.7,,,6613.65,15,96808.14239,Yes
1. Good,11/19/11,6,rent,Business,58,Citigroup,,1449.36,2,203102.9415,Yes
1. Good,11/18/11,10,mortgage,Business,53.7,Foreign Bank,,1829.4,1.68,297718.4182,Yes
1. Good,11/17/11,2,rent,Consumer,44.1,Citigroup,1200,660.3,1.46,383046.4211,Yes
1. Good,11/16/11,2,own,Consumer,26.8,Wells Fargo,3269.47,7503,10.25,88413.52463,Yes
2. Average,11/15/11,10,mortgage,Consumer,62,Bank of America,12122,0,0,189091.9496,Yes
1. Good,11/14/11,4,mortgage,Consumer,56.5,Citigroup,1100,15075,41.44,158483.4055,Yes
1. Good,11/13/11,1,own,Consumer,61.7,US Bancorp,2000,5400,15.25,61636.68977,Yes
1. Good,11/12/11,10,mortgage,Consumer,43.8,,2700,42000,45.9,488212.8197,Yes
1. Good,11/11/11,1,rent,Consumer,27.3,HSBC,1603,6098.4,10,64579.45,Yes
1. Good,11/10/11,9,mortgage,Consumer,22.6,JPMorgan Chase,1380,36969,80.42,470342.9048,Yes
1. Good,11/9/11,4,mortgage,Consumer,36.2,JPMorgan Chase,2892,806.97,1.74,326454.7699,Yes
1. Good,11/8/11,1,mortgage,Consumer,52,Citigroup,1231,6411,16.78,73545.54415,Yes
2. Average,11/7/11,3,mortgage,Business,45.1,HSBC,,2002.29,2.02,291382.4619,Yes
1. Good,11/6/11,,mortgage,Business,31.1,Bank of America,,2909.82,1.95,363306.3244,Yes
1. Good,11/5/11,10,rent,Consumer,46.4,Bank of America,2500,13500,32.67,155778.537,Yes
1. Good,11/4/11,1,rent,Business,36.2,JPMorgan Chase,,990.93,1.61,150460.3965,Yes
2. Average,11/3/11,10,rent,Consumer,25.2,Wells Fargo,1533,898.11,1.63,161898.285,Yes
1. Good,11/2/11,6,mortgage,Business,44.1,Wells Fargo,,746.19,2.02,299874.2495,Yes
1. Good,11/1/11,9,mortgage,Consumer,51,Citigroup,2800,40050,57.17,446041.2426,Yes
1. Good,10/31/11,2,own,Consumer,38.3,US Bancorp,2000,7800,11.02,92157.83234,Yes
1. Good,10/30/11,3,mortgage,Consumer,63,,1100,11058,38.05,129569.4658,Yes
3. Risk,10/29/11,1,rent,Consumer,49.4,Citigroup,2130,20250,25,260221.4841,No
1. Good,10/28/11,2,mortgage,Business,44.7,,,1357.26,1.7,161825.9204,Yes
2. Average,10/27/11,1,mortgage,,,,0,3063.57,1.89,358710.7094,No
1. Good,10/26/11,10,mortgage,Consumer,53.2,PNC,2442,60051,86.97,628804.1469,No
1. Good,10/25/11,7,mortgage,Consumer,32.5,,1100,27000,67.23,298507.561,Yes
1. Good,10/24/11,10,mortgage,Business,44.2,Wells Fargo,,45000,22.13,647618.9121,Yes
1. Good,10/23/11,10,mortgage,Consumer,29.3,Bank of America,1950,27381,47.72,384747.3918,No
2. Average,10/22/11,,own,Consumer,25.5,,2400,0,0,281163.1992,Yes
1. Good,10/21/11,,rent,Business,49.5,The Bank of New York Mellon,,1890.24,4.3,255437.6974,Yes
2. Average,10/20/11,2,mortgage,Consumer,37.4,Citigroup,3560,0,0,153791.1966,Yes
1. Good,10/19/11,0,own,Business,31.5,Foreign Bank,,3341.25,2.25,525590.492,Yes
1. Good,10/18/11,2,rent,Business,43.8,,,1705.83,2.77,260221.4841,Yes
1. Good,10/17/11,3,mortgage,Consumer,28.6,Citigroup,2100,10620,35.26,128756.0393,Yes
1. Good,10/16/11,10,mortgage,Consumer,48.2,,3000,42000,73.68,612197.2824,Yes
1. Good,10/15/11,6,rent,Consumer,25.8,,1426,23136,25,346826.399,Yes
2. Average,10/14/11,10,mortgage,Consumer,23.2,Citigroup,2560,6000,9.3,66754.01928,Yes
1. Good,10/13/11,8,mortgage,Consumer,56.6,,2814.08,30000,20.27,372914.6193,Yes
2. Average,10/12/11,10,rent,Consumer,42.9,Wells Fargo,1880,2091,5,295715.1656,Yes
2. Average,10/11/11,9,rent,,,,0,0,0,211388.2379,Yes
3. Risk,10/10/11,3,rent,Consumer,33.1,HSBC,2800,0,0,190992.3021,Yes
1. Good,10/9/11,6,mortgage,Consumer,23.8,,1250,21600,44.44,316290.9521,Yes
1. Good,10/8/11,10,mortgage,Consumer,66.8,,1300,51672,79.09,641719.0961,Yes
1. Good,10/7/11,,mortgage,Business,44.5,,,966.15,2.39,154609.6583,Yes
1. Good,10/6/11,6,mortgage,Consumer,25.5,,1092,21189,63.84,225331.6219,Yes
2. Average,10/5/11,10,mortgage,Business,31.8,,,3516.72,2.83,396265.7977,Yes
1. Good,10/4/11,10,rent,Consumer,58,HSBC,6558,113700.27,93.4,1340872.558,Yes
1. Good,10/3/11,6,mortgage,Consumer,48.1,,0,753.99,2.06,333229.0323,Yes
1. Good,10/2/11,7,rent,Business,57.5,HSBC,,26877.24,26,333593.5457,Yes
1. Good,10/1/11,10,rent,Consumer,36.7,Wells Fargo,1224.69,47595,61.34,566477.1185,Yes
1. Good,9/30/11,,rent,Consumer,29.9,The Bank of New York Mellon,2960,50850,84.96,517696.1579,Yes
1. Good,9/29/11,7,rent,Consumer,32.5,Wells Fargo,5800,29602.8,40,418201.0757,Yes
1. Good,9/28/11,10,mortgage,Consumer,61.2,,1600,51939,60.72,732018.9925,Yes
1. Good,9/27/11,6,rent,Consumer,30.7,,0,21000,25.93,269987.4591,Yes
1. Good,9/26/11,10,mortgage,Consumer,39.9,,4000,69768,88.57,820289.8906,Yes
1. Good,9/25/11,10,own,Consumer,34.1,Bank of America,2300,58980,86.76,615853.8011,Yes
1. Good,9/24/11,10,mortgage,Consumer,33.2,,2200,0,0,287186.3258,Yes
2. Average,9/23/11,10,mortgage,Business,61.3,,,2390.85,3.12,345105.7461,Yes
1. Good,9/22/11,1,mortgage,Business,33,Citigroup,,1536.93,2.24,208535.1471,No
3. Risk,9/21/11,7,rent,Consumer,28.3,,3200,0,0,230046.005,Yes
2. Average,9/20/11,10,own,Consumer,58.6,PNC,3500,1490.79,2.03,181213.3401,Yes
1. Good,9/19/11,3,mortgage,Consumer,46.3,JPMorgan Chase,1512,13972.2,21.33,186938.5278,Yes
1. Good,9/18/11,3,mortgage,Consumer,31.4,,3030,10725,29.61,110094.6893,Yes
1. Good,9/17/11,5,mortgage,Consumer,44.8,Citigroup,1750,17220.09,23.68,177780.3134,Yes
2. Average,9/16/11,10,rent,Consumer,40.4,Bank of America,2275,0,0,183697.9728,Yes
1. Good,9/15/11,4,rent,Consumer,48.6,Wells Fargo,1521.03,14403.03,18.3,199039.3429,Yes
1. Good,9/14/11,,rent,Consumer,30.3,The Bank of New York Mellon,7000,82050,73.23,1158761.097,Yes
2. Average,9/13/11,0,rent,Business,32.6,,,2450.22,3.2,436688.6929,Yes
1. Good,9/12/11,9,mortgage,Consumer,28.6,Citigroup,2900,35928,74.96,502032.0057,Yes
1. Good,9/11/11,1,mortgage,Business,57.7,HSBC,,1509.63,1.71,191721.4484,Yes
1. Good,9/10/11,10,rent,Consumer,45.7,JPMorgan Chase,8570,59034,86.77,805691.4184,Yes
1. Good,9/9/11,,rent,Consumer,41.2,The Bank of New York Mellon,3467,23400,30,237505.4559,Yes
1. Good,9/8/11,6,mortgage,Consumer,25.3,JPMorgan Chase,1295,0,0,161501.5287,Yes
1. Good,9/7/11,10,rent,Business,49.6,HSBC,,2315.4,2.33,298507.561,Yes
1. Good,9/6/11,,rent,Business,42.3,The Bank of New York Mellon,,622.29,1.9,398677.0987,Yes
1. Good,9/5/11,0,own,Consumer,49.5,Citigroup,1100,4500,13.11,63936.57587,Yes
1. Good,9/4/11,8,rent,Business,46.2,BB&T,,1192.23,1.76,197649.1098,Yes
1. Good,9/3/11,10,own,Consumer,24.5,Bank of America,1300,59538,85.45,692846.9936,Yes
1. Good,9/2/11,6,mortgage,Consumer,46.4,,2000,21570,36.68,229631.852,Yes
1. Good,9/1/11,9,mortgage,Business,43.5,JPMorgan Chase,,1468.41,2.11,224302.0968,Yes
1. Good,8/31/11,4,own,Consumer,39.1,JPMorgan Chase,2300,15000,38.46,221176.5565,Yes
1. Good,8/30/11,3,mortgage,Consumer,48.3,,1350,11925.03,16.93,157569.6943,Yes
3. Risk,8/29/11,10,rent,Consumer,22.2,Bank of America,1900,9000,12.96,117949.8605,Yes
2. Average,8/28/11,8,mortgage,Business,31.5,,,2359.17,3.08,326454.7699,Yes
1. Good,8/27/11,4,mortgage,Business,55.1,HSBC,,15453.06,12.84,223833.037,Yes
2. Average,8/26/11,9,mortgage,Business,21.8,,,2359.17,3.08,403321.3593,Yes
1. Good,8/25/11,,rent,Consumer,52.1,,1830,843,2.12,427567.4113,Yes
1. Good,8/24/11,5,mortgage,Business,43.8,,,2009.28,3.44,269443.3379,Yes
1. Good,8/23/11,5,own,Consumer,30.9,,510,17400,21.7,191079.1803,Yes
1. Good,8/22/11,3,mortgage,Consumer,71.8,Wells Fargo,2500,11052,12.84,128742.1802,Yes
1. Good,8/21/11,10,mortgage,Consumer,37.3,Citigroup,3289,0,0,250524.9475,Yes
1. Good,8/20/11,10,mortgage,Consumer,63.7,Bank of America,4000,101100.09,69.61,1082311.581,Yes
1. Good,8/19/11,5,rent,Business,36.9,,,1352.52,2.37,200812.1995,Yes
1. Good,8/18/11,9,own,Consumer,24.6,Citigroup,,0,0,233173.2924,Yes
1. Good,8/17/11,10,mortgage,Consumer,53.2,Bank of America,,0,0,250954.8408,Yes
1. Good,8/16/11,5,rent,Consumer,47.7,PNC,1450,17862,49.81,262094.0251,Yes
1. Good,8/15/11,,mortgage,Consumer,41.4,The Bank of New York Mellon,1217,22942.29,27.66,240334.9437,Yes
1. Good,8/14/11,10,rent,Consumer,44.2,Wells Fargo,0,55635,69.86,587686.6695,Yes
2. Average,8/13/11,0,mortgage,Consumer,26.9,JPMorgan Chase,1712,1350.42,2.09,208464.3093,Yes
1. Good,8/12/11,6,rent,Consumer,59.3,,1178,0,0,212525.7895,Yes
1. Good,8/11/11,10,mortgage,Business,60.3,Wells Fargo,,1680,2,239363.4482,Yes
1. Good,8/10/11,7,mortgage,Consumer,28.1,,2900,29784,66.51,355156.2253,Yes
1. Good,8/9/11,10,own,Consumer,67.4,,1587,59190,78.83,757937.9602,Yes
1. Good,8/8/11,10,mortgage,Consumer,56.3,Wells Fargo,1512.71,0,0,276236.0082,No
1. Good,8/7/11,5,mortgage,Consumer,57.9,,1700,20376,25.35,240660.4624,Yes
1. Good,8/6/11,10,rent,Consumer,20.2,Bank of America,1000,11437.5,25,163839.9614,Yes
2. Average,8/5/11,9,mortgage,Business,26,,,216,2.4,273600.4681,Yes
2. Average,8/4/11,6,mortgage,Consumer,58,,0,0,0,191639.216,Yes
1. Good,8/3/11,4,mortgage,Consumer,43.8,Foreign Bank,2500,15000,21.94,160920.3417,Yes
1. Good,8/2/11,7,mortgage,Consumer,51.7,,1950,28665,79.26,396612.8724,Yes
1. Good,8/1/11,2,mortgage,Business,40.7,Foreign Bank,,9690,20,97883.6091,Yes
3. Risk,7/31/11,2,rent,Consumer,25,Bank of America,2205,0,0,180114.2399,Yes
1. Good,7/30/11,0,mortgage,Business,60.1,Foreign Bank,,1644.84,4.31,266846.3536,Yes
1. Good,7/29/11,2,mortgage,Consumer,32.2,,2000,7332,16.94,107759.819,Yes
1. Good,7/28/11,4,rent,Consumer,27.3,PNC,2500,15339,42.21,194765.006,Yes
1. Good,7/27/11,0,rent,Business,40.9,Foreign Bank,,1480.62,1.63,226439.7557,Yes
1. Good,7/26/11,2,mortgage,Consumer,52.8,JPMorgan Chase,2400,8253,12.65,92477.40405,Yes
1. Good,7/25/11,2,mortgage,Consumer,23.3,,900,9789,24.6,145517.9799,Yes
2. Average,7/24/11,1,mortgage,Business,44.8,HSBC,,3358.2,1.93,509019.9774,Yes
2. Average,7/23/11,5,mortgage,,,,0,2271.54,2.89,383046.4211,Yes
1. Good,7/22/11,10,mortgage,Business,47.1,HSBC,,2158.8,2.5,283099.656,Yes
1. Good,7/21/11,5,mortgage,Business,60,HSBC,,1082.49,2.14,158534.2858,Yes
1. Good,7/20/11,0,own,Business,42.3,,,2903.85,3.4,379730.5886,Yes
3. Risk,7/19/11,2,rent,Business,37.7,The Bank of New York Mellon,,1487.73,1.68,172275.1217,Yes
2. Average,7/18/11,10,own,Business,57.2,,,609,1,272773.668,Yes
1. Good,7/17/11,2,mortgage,Business,61,,,1651.26,1.89,225353.0481,Yes
1. Good,7/16/11,10,rent,Consumer,36.1,,1596,2772,7.32,381550.8309,Yes
2. Average,7/15/11,10,own,Consumer,60.1,,1800,834.09,1.89,403321.3593,Yes
2. Average,7/14/11,5,rent,Consumer,32,,4698,3424.05,1.92,506878.1092,Yes
1. Good,7/13/11,,mortgage,Consumer,39.7,Bank of America,5500,79265.85,82.08,1115780.927,Yes
1. Good,7/12/11,0,own,Business,40.9,,,3503.67,1.85,486408.8805,Yes
2. Average,7/11/11,2,mortgage,Consumer,35.7,PNC,2372,15000,14.91,172347.5303,Yes
1. Good,7/10/11,,mortgage,Consumer,54.3,The Bank of New York Mellon,6300,18210,27.75,266846.3536,No
3. Risk,7/9/11,2,rent,Consumer,32.8,PNC,3588,0,0,144283.7868,Yes
1. Good,7/8/11,10,mortgage,Business,50.1,Foreign Bank,,1454.61,1.5,228530.3602,Yes
1. Good,7/7/11,,mortgage,Business,43.8,,,1495.77,2.84,217944.0634,Yes
1. Good,7/6/11,10,rent,Consumer,36,Bank of America,4500,0,0,345387.3928,Yes
1. Good,7/5/11,0,own,Business,32.8,HSBC,,3271.89,10.01,384899.1469,Yes
1. Good,7/4/11,,own,Business,27.9,The Bank of New York Mellon,,1964.04,2.1,310745.3522,Yes
1. Good,7/3/11,9,mortgage,Consumer,58,HSBC,1820,34980,69.99,445068.9716,Yes
1. Good,7/2/11,,own,Consumer,65.7,The Bank of New York Mellon,6100,57738,86.51,859359.5494,Yes
1. Good,7/1/11,6,mortgage,Consumer,29.3,US Bancorp,1700,22278,31.7,266424.943,Yes
1. Good,6/30/11,2,mortgage,Consumer,56.3,,11336,0,0,179930.1438,Yes
2. Average,6/29/11,2,rent,Business,46.8,,,2359.17,3.08,333229.0323,Yes
1. Good,6/28/11,10,mortgage,Consumer,30.6,Citigroup,6000,1405.11,2.02,182422.22,Yes
1. Good,6/27/11,0,own,Consumer,38.5,,2402,4500,12.77,47342.40672,Yes
1. Good,6/26/11,10,mortgage,Consumer,47.2,PNC,0,57900,72.01,810821.9196,Yes
1. Good,6/25/11,3,rent,Consumer,26.2,,1061,0,0,221894.2408,Yes
1. Good,6/24/11,7,mortgage,Consumer,62.3,,2300,25500,62.96,257582.5338,Yes
1. Good,6/23/11,10,rent,Consumer,49.7,Bank of America,1400,15000,37.04,200812.1995,Yes
1. Good,6/22/11,9,mortgage,Consumer,48.3,,6000,39423,39.65,583103.9611,Yes
3. Risk,6/21/11,,rent,Consumer,27.2,Citigroup,1379,54000,73.47,798603.7399,Yes
1. Good,6/20/11,2,rent,Consumer,40.4,US Bancorp,2200,8996.91,11.82,110174.2618,No
1. Good,6/19/11,6,mortgage,Consumer,20.2,PNC,1100,0,0,210335.4714,Yes
1. Good,6/18/11,2,rent,Consumer,22.1,JPMorgan Chase,986,9148.53,20.6,134902.0476,Yes
1. Good,6/17/11,10,mortgage,Consumer,70.8,Bank of America,2073,19500,41.75,239363.4482,Yes
1. Good,6/16/11,10,own,Consumer,46.3,Citigroup,1300,0,0,225484.9286,No
1. Good,6/15/11,3,rent,Consumer,38.6,,3000,10499.94,12.31,146192.4317,Yes
2. Average,6/14/11,4,mortgage,Consumer,19.4,Bank of America,1700,0,0,175635.1899,Yes
1. Good,6/13/11,,mortgage,Consumer,51.9,The Bank of New York Mellon,2500,28500,77.24,365917.3435,Yes
1. Good,6/12/11,10,mortgage,Business,49.9,,,884.55,2.4,398091.4701,Yes
1. Good,6/11/11,10,rent,Consumer,53,,2700,148601.14,84.64,1533467.237,Yes
2. Average,6/10/11,10,rent,Consumer,29.5,Foreign Bank,2100,39000,28.57,544726.755,Yes
1. Good,6/9/11,,rent,Business,54.6,Foreign Bank,,881.22,1.53,324892.8802,Yes
1. Good,6/8/11,10,mortgage,Consumer,39.1,,4056.6,2362.26,2.1,290414.6823,Yes
1. Good,6/7/11,2,mortgage,Consumer,36.3,JPMorgan Chase,1300,9842.4,15,117727.3601,Yes
1. Good,6/6/11,10,mortgage,Consumer,45.6,PNC,858,70680,82.49,928015.1275,Yes
1. Good,6/5/11,,mortgage,Consumer,54,The Bank of New York Mellon,7667,4605,11.92,63726.01397,Yes
1. Good,6/4/11,5,mortgage,Consumer,38.8,PNC,2833,18300,25.31,268787.3367,Yes
1. Good,6/3/11,10,mortgage,Consumer,33.7,Bank of America,1500,39900,81.6,526748.8634,Yes
1. Good,6/2/11,,mortgage,Consumer,51.9,The Bank of New York Mellon,1400,0,0,322033.6819,Yes
1. Good,6/1/11,5,rent,Business,57.8,,,557.4,1.96,305460.7915,Yes
2. Average,5/31/11,10,mortgage,Consumer,28.3,PNC,2878,0,0,236697.7357,Yes
2. Average,5/30/11,5,rent,Consumer,30.2,Citigroup,3722,17418,18.06,181161.1816,Yes
1. Good,5/29/11,6,rent,Consumer,35.7,HSBC,6600,21450,57.75,262551.7553,Yes
2. Average,5/28/11,1,mortgage,Business,37.8,,,0,0,135134.3411,Yes
1. Good,5/27/11,8,mortgage,Consumer,51.7,Citigroup,1200,31770,67.93,389787.1429,Yes
2. Average,5/26/11,4,mortgage,Consumer,24.8,US Bancorp,2200,3000,5.11,423991.2989,Yes
1. Good,5/25/11,10,rent,Consumer,59.5,Citigroup,5800,135400.78,93.94,1517935.614,No
1. Good,5/24/11,10,mortgage,Business,42,,,1960.41,2.11,325041.1709,Yes
1. Good,5/23/11,2,rent,Consumer,53.8,,2100,2787,8.45,433512.0639,Yes
1. Good,5/22/11,6,mortgage,Consumer,57,,3700,24000,32,352980.8467,Yes
1. Good,5/21/11,6,mortgage,Consumer,29.4,Citigroup,1115,24306,56.26,249606.9812,Yes
1. Good,5/20/11,,rent,Business,41.8,Citigroup,,2385.66,2.82,325822.1832,Yes
1. Good,5/19/11,10,rent,Consumer,23.5,Bank of America,1900,0,0,341453.1263,Yes
1. Good,5/18/11,3,rent,Consumer,50.3,,1200,10500,18.11,150193.1423,Yes
1. Good,5/17/11,3,own,Consumer,34.7,,1677,13618.98,20.26,190992.3021,Yes
1. Good,5/16/11,10,mortgage,Business,33.3,Foreign Bank,,0,0,274578.8111,Yes
1. Good,5/15/11,6,rent,Business,24.8,PNC,,22539.9,30,308923.0933,Yes
1. Good,5/14/11,7,mortgage,Consumer,47.6,HSBC,3200,26700,54.29,398677.0987,Yes
2. Average,5/13/11,9,mortgage,Business,33.1,Wells Fargo,,0,0,248173.7606,Yes
1. Good,5/12/11,10,rent,Consumer,35,,2250,63570,80.91,925635.1,Yes
1. Good,5/11/11,1,rent,Consumer,25.2,JPMorgan Chase,1200,6900,18.7,74115.52386,Yes
1. Good,5/10/11,5,rent,Business,46.3,JPMorgan Chase,,2160.27,2.32,349472.2835,Yes
1. Good,5/9/11,10,mortgage,Consumer,35.8,Citigroup,1500,0,0,258707.5228,Yes
2. Average,5/8/11,10,mortgage,Consumer,41.6,PNC,2189,15000,21.57,179366.2593,Yes
1. Good,5/7/11,10,mortgage,Consumer,41.8,Bank of America,1160,11997.63,18.55,134252.5922,Yes
1. Good,5/6/11,10,rent,Consumer,61.1,PNC,1200,61890,80.49,741600.8397,Yes
1. Good,5/5/11,9,rent,Consumer,42.3,,1570,36600,60.4,484157.8648,Yes
1. Good,5/4/11,5,rent,Business,33.6,JPMorgan Chase,,974.91,3.09,145574.5292,Yes
1. Good,5/3/11,,rent,Business,42.3,The Bank of New York Mellon,,670.02,2,340706.439,Yes
1. Good,5/2/11,1,own,Consumer,56.8,Citigroup,2950,6870,10.03,85965.23979,Yes
